Classifier,Percentage Split (Training/Testing),Accuracy,Precision,Recall,F1-Score,Specificity,Total Runtime (s)
ZeroR,50/50,0.594543417134438,0.9189086834268876,0.2,0.1491444913310407,0.8,0.2386393547058105
Random Forest,50/50,0.7458886271905706,0.7591144353307362,0.5111737779389618,0.5835590070083125,0.9007169221048915,50.16252636909485
Decision Tree,50/50,0.6628985567395387,0.4933909032988784,0.5081572825652032,0.5004366147530027,0.8853360988254015,3.1598124504089355
Extra Trees,50/50,0.7410794882702664,0.7380429750653261,0.5167242812830738,0.5855001916755199,0.8968535255396175,25.67701005935669
ZeroR,70/30,0.5932212182785007,0.9186442436557002,0.2,0.1489363087743672,0.8,0.1289997100830078
Random Forest,70/30,0.7743634084129524,0.7997423180570115,0.5744156073508186,0.649241762927933,0.9116243280043064,68.28370571136475
Decision Tree,70/30,0.7004279970602222,0.5547916688217823,0.5669159177094801,0.5606819044739904,0.8981591048010813,4.349728584289551
Extra Trees,70/30,0.770005620163417,0.7804316097013907,0.5749393129190368,0.6449976034015096,0.9081296423255693,33.45825839042664
ZeroR,80/20,0.593829033889732,0.9187658067779464,0.2,0.1490320533164075,0.8,0.092003583908081
Random Forest,80/20,0.7866749672515985,0.8146365384386713,0.6006365799039318,0.6749742784508174,0.9165735418689828,77.06814050674438
Decision Tree,80/20,0.7208150136829955,0.5807158753517382,0.6007057923361968,0.590211682342415,0.9050080693355068,4.872707843780518
Extra Trees,80/20,0.7851575165687457,0.8085049251963474,0.603597291726888,0.6760701840097114,0.9145639828615492,37.72710037231445
ZeroR,90/10,0.593873210209587,0.9187746420419174,0.2,0.1490390092274643,0.8,0.0609998703002929
Random Forest,90/10,0.800269765511517,0.831826645527415,0.6244740822705935,0.6983916521648679,0.922499474844434,85.75454425811768
Decision Tree,90/10,0.7346959950197136,0.6063691519229704,0.614090454898679,0.6101139839303041,0.9100162964664876,5.532785415649414
Extra Trees,90/10,0.7945372483917825,0.8206649427963184,0.6243426183058218,0.6955724748928003,0.9186336588535762,44.81831526756287
